Документ_x,Наименование ГО_x,Наименование ГП_x,Наименование страны отправления_x,Наименование станции отправления_x,Станция отправления_x,Наименование страны назначения_x,Наименование станции назначения_x,Станция назначения_x,Номер вагона,Общий вес по документу (кг)_x,Вес на вагон (кг)_x,Код груза_x,Наименование груза_x,Код грузополучателя,Дата прибытия,Взыскано по прибытию (последние 2 знака тиыны),Документ_y,Наименование ГО_y,Наименование ГП_y,Наименование страны отправления_y,Наименование станции отправления_y,Станция отправления_y,Наименование страны назначения_y,Наименование станции назначения_y,Станция назначения_y,Общий вес по документу (кг)_y,Вес на вагон (кг)_y,Код груза_y,Наименование груза_y,Код грузоотправителя,Дата отправления,Взыскано при отправления  (последние 2 знака тиыны)
36744371,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАЦИОНАЛЬНАЯ КОМПАНИЯ ""ПРОДОВОЛЬСТВЕННАЯ КОНТРАКТНАЯ КОРПОРАЦИЯ""","ТОО ""НОВО-АЛЬДЖАНСКИЙ МЕЛЬКОМБИНАТ""",РОССИЯ           ,БУЛАЕВО 1       ,825202.0,КАЗАХСТАН        ,АКТОБЕ 2        ,689607.0,95472379,70000.0,70000.0,11005.0,ПШЕНИЦА,39667720.0,2024-10-02,23627800,20034814,"ТОО ""MURAD INVEST""",OOO «MILL MAX GROUP»,КАЗАХСТАН        ,ЖАЗЫК           ,668808.0,УЗБЕКИСТАН       ,СЕРГЕЛИ         ,723507.0,70000.0,70000.0,11005.0,ПШЕНИЦА,10000001.0,2024-10-10 17:44:00,24952600
36744371,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАЦИОНАЛЬНАЯ КОМПАНИЯ ""ПРОДОВОЛЬСТВЕННАЯ КОНТРАКТНАЯ КОРПОРАЦИЯ""","ТОО ""НОВО-АЛЬДЖАНСКИЙ МЕЛЬКОМБИНАТ""",РОССИЯ           ,БУЛАЕВО 1       ,825202.0,КАЗАХСТАН        ,АКТОБЕ 2        ,689607.0,95472379,70000.0,70000.0,11005.0,ПШЕНИЦА,39667720.0,2024-10-02,23627800,20089066,"ТОО ""FARM FACTORY""","ООО «Admiral Group» Адрес* Республика Узбекистан, Ферганская область, Учкуприкский район, СГС Кенагас,  СЭЗ Коканд",КАЗАХСТАН        ,КОВЫЛЬНАЯ 1     ,681605.0,УЗБЕКИСТАН       ,КАКИР           ,742207.0,70000.0,70000.0,11005.0,ПШЕНИЦА,10000001.0,2024-11-01 19:02:00,32136300
36744371,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАЦИОНАЛЬНАЯ КОМПАНИЯ ""ПРОДОВОЛЬСТВЕННАЯ КОНТРАКТНАЯ КОРПОРАЦИЯ""","ТОО ""НОВО-АЛЬДЖАНСКИЙ МЕЛЬКОМБИНАТ""",РОССИЯ           ,БУЛАЕВО 1       ,825202.0,КАЗАХСТАН        ,АКТОБЕ 2        ,689607.0,95472379,70000.0,70000.0,11005.0,ПШЕНИЦА,39667720.0,2024-10-02,23627800,20150712,"ТОО ""SN ASIA""","СП ООО ""MOTIVATOR""",КАЗАХСТАН        ,АДЫР            ,691406.0,УЗБЕКИСТАН       ,КАКИР           ,742207.0,70000.0,70000.0,11005.0,ПШЕНИЦА,10000001.0,2024-11-28 14:57:00,29300400
36744349,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАЦИОНАЛЬНАЯ КОМПАНИЯ ""ПРОДОВОЛЬСТВЕННАЯ КОНТРАКТНАЯ КОРПОРАЦИЯ""","ТОО ""НОВО-АЛЬДЖАНСКИЙ МЕЛЬКОМБИНАТ""",РОССИЯ           ,БУЛАЕВО 1       ,825202.0,КАЗАХСТАН        ,АКТОБЕ 2        ,689607.0,95475323,70000.0,70000.0,11005.0,ПШЕНИЦА,39667720.0,2024-10-01,23627800,20170140,"ТОО ""EAST AGRO COMPANY""","ООО ""BABUR TURAN""",КАЗАХСТАН        ,КОСТАНАЙ        ,684001.0,УЗБЕКИСТАН       ,РАХИМОВА        ,723704.0,70000.0,70000.0,11005.0,ПШЕНИЦА,10000001.0,2024-12-10 20:11:00,36294700
36744333,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАЦИОНАЛЬНАЯ КОМПАНИЯ ""ПРОДОВОЛЬСТВЕННАЯ КОНТРАКТНАЯ КОРПОРАЦИЯ""","ТОО ""НОВО-АЛЬДЖАНСКИЙ МЕЛЬКОМБИНАТ""",РОССИЯ           ,БУЛАЕВО 1       ,825202.0,КАЗАХСТАН        ,АКТОБЕ 2        ,689607.0,95676375,70000.0,70000.0,11005.0,ПШЕНИЦА,39667720.0,2024-10-01,23627800,20113227,"ТОО ""EAST AGRO COMPANY""","ООО ""QUANTITYCLASS""",КАЗАХСТАН        ,КЗЫЛ-ТУ         ,688604.0,УЗБЕКИСТАН       ,КАКИР           ,742207.0,70000.0,70000.0,11005.0,ПШЕНИЦА,10000001.0,2024-11-13 15:39:00,33542100
36744333,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАЦИОНАЛЬНАЯ КОМПАНИЯ ""ПРОДОВОЛЬСТВЕННАЯ КОНТРАКТНАЯ КОРПОРАЦИЯ""","ТОО ""НОВО-АЛЬДЖАНСКИЙ МЕЛЬКОМБИНАТ""",РОССИЯ           ,БУЛАЕВО 1       ,825202.0,КАЗАХСТАН        ,АКТОБЕ 2        ,689607.0,95676375,70000.0,70000.0,11005.0,ПШЕНИЦА,39667720.0,2024-10-01,23627800,20178542,"ТОО ""АГРО НАН ЭКСПОРТ""","ООО «MILL MAX GROUP»      Республика Узбекистан,  г* Ташкент, ул* Нилуфар, д* 85",КАЗАХСТАН        ,АК-КУЛЬ         ,692601.0,УЗБЕКИСТАН       ,СЕРГЕЛИ         ,723507.0,70000.0,70000.0,11005.0,ПШЕНИЦА,56609825.0,2024-12-09 18:18:00,29098700
36744322,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАЦИОНАЛЬНАЯ КОМПАНИЯ ""ПРОДОВОЛЬСТВЕННАЯ КОНТРАКТНАЯ КОРПОРАЦИЯ""","ТОО ""НОВО-АЛЬДЖАНСКИЙ МЕЛЬКОМБИНАТ""",РОССИЯ           ,БУЛАЕВО 1       ,825202.0,КАЗАХСТАН        ,АКТОБЕ 2        ,689607.0,95554309,70000.0,70000.0,11005.0,ПШЕНИЦА,39667720.0,2024-10-01,23627800,20054949,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""SN TRADE COMPANY""","OOO ""OLTIN TEGIRMON GROUP""",КАЗАХСТАН        ,ДЕНИСОВКА       ,683600.0,УЗБЕКИСТАН       ,АБЛЫК           ,722701.0,70000.0,70000.0,11005.0,ПШЕНИЦА,10000001.0,2024-10-18 00:17:00,33425700
36744322,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАЦИОНАЛЬНАЯ КОМПАНИЯ ""ПРОДОВОЛЬСТВЕННАЯ КОНТРАКТНАЯ КОРПОРАЦИЯ""","ТОО ""НОВО-АЛЬДЖАНСКИЙ МЕЛЬКОМБИНАТ""",РОССИЯ           ,БУЛАЕВО 1       ,825202.0,КАЗАХСТАН        ,АКТОБЕ 2        ,689607.0,95554309,70000.0,70000.0,11005.0,ПШЕНИЦА,39667720.0,2024-10-01,23627800,20158035,"ТОО ""ВИТЕРРА КАЗАХСТАН""","Alashankou Jinshahe Flour Manufacturing CO, LTD  NO*11 Alashankou Comprehensive free trade zone,  Xinjiang , China",КАЗАХСТАН        ,ТАНКЕРЫС        ,692402.0,КИТАЙ            ,ДОСТЫК ЭКС      ,708507.0,70000.0,70000.0,11005.0,ПШЕНИЦА,40879137.0,2024-11-30 14:32:00,23204800
36744250,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАЦИОНАЛЬНАЯ КОМПАНИЯ ""ПРОДОВОЛЬСТВЕННАЯ КОНТРАКТНАЯ КОРПОРАЦИЯ""","ТОО ""НОВО-АЛЬДЖАНСКИЙ МЕЛЬКОМБИНАТ""",РОССИЯ           ,БУЛАЕВО 1       ,825202.0,КАЗАХСТАН        ,АКТОБЕ 2        ,689607.0,58502899,70000.0,70000.0,11005.0,ПШЕНИЦА,39667720.0,2024-10-01,23627800,20170131,"ТОО ""EAST AGRO COMPANY""","ООО ""BABUR TURAN""",КАЗАХСТАН        ,КОСТАНАЙ        ,684001.0,УЗБЕКИСТАН       ,РАХИМОВА        ,723704.0,70000.0,70000.0,11005.0,ПШЕНИЦА,10000001.0,2024-12-10 20:14:00,36294700
36744256,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАЦИОНАЛЬНАЯ КОМПАНИЯ ""ПРОДОВОЛЬСТВЕННАЯ КОНТРАКТНАЯ КОРПОРАЦИЯ""","ТОО ""НОВО-АЛЬДЖАНСКИЙ МЕЛЬКОМБИНАТ""",РОССИЯ           ,БУЛАЕВО 1       ,825202.0,КАЗАХСТАН        ,АКТОБЕ 2        ,689607.0,58532433,70000.0,70000.0,11005.0,ПШЕНИЦА,39667720.0,2024-10-01,23627800,20170137,"ТОО ""EAST AGRO COMPANY""","ООО ""BABUR TURAN""",КАЗАХСТАН        ,КОСТАНАЙ        ,684001.0,УЗБЕКИСТАН       ,РАХИМОВА        ,723704.0,70000.0,70000.0,11005.0,ПШЕНИЦА,10000001.0,2024-12-10 20:21:00,36294700
36744243,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАЦИОНАЛЬНАЯ КОМПАНИЯ ""ПРОДОВОЛЬСТВЕННАЯ КОНТРАКТНАЯ КОРПОРАЦИЯ""","ТОО ""НОВО-АЛЬДЖАНСКИЙ МЕЛЬКОМБИНАТ""",РОССИЯ           ,БУЛАЕВО 1       ,825202.0,КАЗАХСТАН        ,АКТОБЕ 2        ,689607.0,98003965,70000.0,70000.0,11005.0,ПШЕНИЦА,39667720.0,2024-10-01,23627800,20055048,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""SN TRADE COMPANY""","OOO ""OLTIN TEGIRMON GROUP""",КАЗАХСТАН        ,ДЕНИСОВКА       ,683600.0,УЗБЕКИСТАН       ,АБЛЫК           ,722701.0,70000.0,70000.0,11005.0,ПШЕНИЦА,10000001.0,2024-10-18 00:19:00,33425700
36744243,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАЦИОНАЛЬНАЯ КОМПАНИЯ ""ПРОДОВОЛЬСТВЕННАЯ КОНТРАКТНАЯ КОРПОРАЦИЯ""","ТОО ""НОВО-АЛЬДЖАНСКИЙ МЕЛЬКОМБИНАТ""",РОССИЯ           ,БУЛАЕВО 1       ,825202.0,КАЗАХСТАН        ,АКТОБЕ 2        ,689607.0,98003965,70000.0,70000.0,11005.0,ПШЕНИЦА,39667720.0,2024-10-01,23627800,20103076,"ТОО ""BAKHTAR AGRO KZ""",OOO AVRASYA,КАЗАХСТАН        ,ДЖАЛТЫР         ,691109.0,УЗБЕКИСТАН       ,БОЗСУ           ,721408.0,70000.0,70000.0,11005.0,ПШЕНИЦА,10000001.0,2024-11-09 15:39:00,27882000
36744236,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАЦИОНАЛЬНАЯ КОМПАНИЯ ""ПРОДОВОЛЬСТВЕННАЯ КОНТРАКТНАЯ КОРПОРАЦИЯ""","ТОО ""НОВО-АЛЬДЖАНСКИЙ МЕЛЬКОМБИНАТ""",РОССИЯ           ,БУЛАЕВО 1       ,825202.0,КАЗАХСТАН        ,АКТОБЕ 2        ,689607.0,98000854,70000.0,70000.0,11005.0,ПШЕНИЦА,39667720.0,2024-10-01,23627800,20034862,"ТОО ""MURAD INVEST""",OOO «MILL MAX GROUP»,КАЗАХСТАН        ,ЖАЗЫК           ,668808.0,УЗБЕКИСТАН       ,СЕРГЕЛИ         ,723507.0,70000.0,70000.0,11005.0,ПШЕНИЦА,10000001.0,2024-10-10 17:44:00,24952600
36744236,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАЦИОНАЛЬНАЯ КОМПАНИЯ ""ПРОДОВОЛЬСТВЕННАЯ КОНТРАКТНАЯ КОРПОРАЦИЯ""","ТОО ""НОВО-АЛЬДЖАНСКИЙ МЕЛЬКОМБИНАТ""",РОССИЯ           ,БУЛАЕВО 1       ,825202.0,КАЗАХСТАН        ,АКТОБЕ 2        ,689607.0,98000854,70000.0,70000.0,11005.0,ПШЕНИЦА,39667720.0,2024-10-01,23627800,20089065,"ТОО ""FARM FACTORY""","ООО «Admiral Group» Адрес* Республика Узбекистан, Ферганская область, Учкуприкский район, СГС Кенагас,  СЭЗ Коканд",КАЗАХСТАН        ,КОВЫЛЬНАЯ 1     ,681605.0,УЗБЕКИСТАН       ,КАКИР           ,742207.0,70000.0,70000.0,11005.0,ПШЕНИЦА,10000001.0,2024-11-01 19:01:00,32136300
36744236,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАЦИОНАЛЬНАЯ КОМПАНИЯ ""ПРОДОВОЛЬСТВЕННАЯ КОНТРАКТНАЯ КОРПОРАЦИЯ""","ТОО ""НОВО-АЛЬДЖАНСКИЙ МЕЛЬКОМБИНАТ""",РОССИЯ           ,БУЛАЕВО 1       ,825202.0,КАЗАХСТАН        ,АКТОБЕ 2        ,689607.0,98000854,70000.0,70000.0,11005.0,ПШЕНИЦА,39667720.0,2024-10-01,23627800,20169687,"ТОО ""FARM FACTORY""","ООО «PACK AND FOOD INDUSTRY» Адрес* Республика Узбекистан, Ташкентская область , Зангиатинский р-он, ул* Мустахкам Оила ,  дом 45А",КАЗАХСТАН        ,ЖАНА-ЕСИЛЬ      ,685707.0,УЗБЕКИСТАН       ,УРТААУЛ         ,723808.0,70000.0,70000.0,11005.0,ПШЕНИЦА,10000001.0,2024-12-05 19:28:00,33554600
36751265,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАЦИОНАЛЬНАЯ КОМПАНИЯ ""ПРОДОВОЛЬСТВЕННАЯ КОНТРАКТНАЯ КОРПОРАЦИЯ""","ТОО ""НОВО-АЛЬДЖАНСКИЙ МЕЛЬКОМБИНАТ""",РОССИЯ           ,БУЛАЕВО 1       ,825202.0,КАЗАХСТАН        ,АКТОБЕ 2        ,689607.0,98002306,70000.0,70000.0,11005.0,ПШЕНИЦА,39667720.0,2024-10-06,23627800,20161080,"ТОО ""NAN MOL""","ALASHANKOU JINSHAHE FLOUR MANUFACTURING CO**LTD NO*, LTD NO*11,ALASHANKOU COMPREHENSIVE FREE TRADE ZONE,XINJIANG,CHINA*",КАЗАХСТАН        ,СМИРНОВО        ,687902.0,КИТАЙ            ,ДОСТЫК ЭКС      ,708507.0,70000.0,70000.0,11005.0,ПШЕНИЦА,10000001.0,2024-11-30 14:29:00,29236800
36751265,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАЦИОНАЛЬНАЯ КОМПАНИЯ ""ПРОДОВОЛЬСТВЕННАЯ КОНТРАКТНАЯ КОРПОРАЦИЯ""","ТОО ""НОВО-АЛЬДЖАНСКИЙ МЕЛЬКОМБИНАТ""",РОССИЯ           ,БУЛАЕВО 1       ,825202.0,КАЗАХСТАН        ,АКТОБЕ 2        ,689607.0,98002306,70000.0,70000.0,11005.0,ПШЕНИЦА,39667720.0,2024-10-06,23627800,20198688,"ТОО ""AGRONEXUS""","ALASHANKOU JINSHAHE FLOUR MANUFACTURING CO*, LTD",КАЗАХСТАН        ,КОКШЕТАУ 1      ,687008.0,КИТАЙ            ,ДОСТЫК ЭКС      ,708507.0,70000.0,70000.0,11005.0,ПШЕНИЦА,10000001.0,2024-12-21 18:52:00,29009600
36751141,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАЦИОНАЛЬНАЯ КОМПАНИЯ ""ПРОДОВОЛЬСТВЕННАЯ КОНТРАКТНАЯ КОРПОРАЦИЯ""","ТОО ""НОВО-АЛЬДЖАНСКИЙ МЕЛЬКОМБИНАТ""",РОССИЯ           ,БУЛАЕВО 1       ,825202.0,КАЗАХСТАН        ,АКТОБЕ 2        ,689607.0,95007118,70000.0,70000.0,11005.0,ПШЕНИЦА,39667720.0,2024-10-05,23627800,20058772,"ТОО ""ATAMEKEN AGRO TRADE""","OOO **PERFECT ART** Республика Узбекистан, г* Ташкент, Янгихаётский район, Южная промзона 3",КАЗАХСТАН        ,СУЛЫ            ,686100.0,УЗБЕКИСТАН       ,СЕРГЕЛИ         ,723507.0,70000.0,70000.0,11005.0,ПШЕНИЦА,10000001.0,2024-10-19 18:43:00,34973000
36751141,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАЦИОНАЛЬНАЯ КОМПАНИЯ ""ПРОДОВОЛЬСТВЕННАЯ КОНТРАКТНАЯ КОРПОРАЦИЯ""","ТОО ""НОВО-АЛЬДЖАНСКИЙ МЕЛЬКОМБИНАТ""",РОССИЯ           ,БУЛАЕВО 1       ,825202.0,КАЗАХСТАН        ,АКТОБЕ 2        ,689607.0,95007118,70000.0,70000.0,11005.0,ПШЕНИЦА,39667720.0,2024-10-05,23627800,20216822,"АО ""НАЦИОНАЛЬНАЯ КОМПАНИЯ ПРОДОВОЛЬСТВЕННАЯ КОНТРАКТНАЯ КОРПОРАЦИЯ""","Агентство по государственным материальным резервам при Правительстве Республики Таджикистан,Республика Таджикистан,г*Душанбе,ул*Хусейнзода 14*",КАЗАХСТАН        ,СМИРНОВО        ,687902.0,ТАДЖИКИСТАН      ,КУЛЯБ           ,748909.0,70000.0,70000.0,11005.0,ПШЕНИЦА,30567773.0,2024-12-24 19:04:00,35004100
36751093,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАЦИОНАЛЬНАЯ КОМПАНИЯ ""ПРОДОВОЛЬСТВЕННАЯ КОНТРАКТНАЯ КОРПОРАЦИЯ""","ТОО ""НОВО-АЛЬДЖАНСКИЙ МЕЛЬКОМБИНАТ""",РОССИЯ           ,БУЛАЕВО 1       ,825202.0,КАЗАХСТАН        ,АКТОБЕ 2        ,689607.0,95482535,70000.0,70000.0,11005.0,ПШЕНИЦА,39667720.0,2024-10-05,23627800,20058775,"ТОО ""ATAMEKEN AGRO TRADE""","OOO **PERFECT ART** Республика Узбекистан, г* Ташкент, Янгихаётский район, Южная промзона 3",КАЗАХСТАН        ,СУЛЫ            ,686100.0,УЗБЕКИСТАН       ,СЕРГЕЛИ         ,723507.0,70000.0,70000.0,11005.0,ПШЕНИЦА,10000001.0,2024-10-19 18:42:00,34973000
36751093,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАЦИОНАЛЬНАЯ КОМПАНИЯ ""ПРОДОВОЛЬСТВЕННАЯ КОНТРАКТНАЯ КОРПОРАЦИЯ""","ТОО ""НОВО-АЛЬДЖАНСКИЙ МЕЛЬКОМБИНАТ""",РОССИЯ           ,БУЛАЕВО 1       ,825202.0,КАЗАХСТАН        ,АКТОБЕ 2        ,689607.0,95482535,70000.0,70000.0,11005.0,ПШЕНИЦА,39667720.0,2024-10-05,23627800,20216831,"АО ""НАЦИОНАЛЬНАЯ КОМПАНИЯ ПРОДОВОЛЬСТВЕННАЯ КОНТРАКТНАЯ КОРПОРАЦИЯ""","Агентство по государственным материальным резервам при Правительстве Республики Таджикистан,Республика Таджикистан,г*Душанбе,ул*Хусейнзода 14*",КАЗАХСТАН        ,СМИРНОВО        ,687902.0,ТАДЖИКИСТАН      ,КУЛЯБ           ,748909.0,70000.0,70000.0,11005.0,ПШЕНИЦА,30567773.0,2024-12-24 19:04:00,35004100
36751057,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАЦИОНАЛЬНАЯ КОМПАНИЯ ""ПРОДОВОЛЬСТВЕННАЯ КОНТРАКТНАЯ КОРПОРАЦИЯ""","ТОО ""НОВО-АЛЬДЖАНСКИЙ МЕЛЬКОМБИНАТ""",РОССИЯ           ,БУЛАЕВО 1       ,825202.0,КАЗАХСТАН        ,АКТОБЕ 2        ,689607.0,95553350,70000.0,70000.0,11005.0,ПШЕНИЦА,39667720.0,2024-10-05,23627800,20058778,"ТОО ""ATAMEKEN AGRO TRADE""","OOO **PERFECT ART** Республика Узбекистан, г* Ташкент, Янгихаётский район, Южная промзона 3",КАЗАХСТАН        ,СУЛЫ            ,686100.0,УЗБЕКИСТАН       ,СЕРГЕЛИ         ,723507.0,70000.0,70000.0,11005.0,ПШЕНИЦА,10000001.0,2024-10-19 18:41:00,34973000
