Документ_x,Наименование ГО_x,Наименование ГП_x,Наименование страны отправления_x,Наименование станции отправления_x,Станция отправления_x,Наименование страны назначения_x,Наименование станции назначения_x,Станция назначения_x,Номер вагона,Общий вес по документу (кг)_x,Вес на вагон (кг)_x,Код груза_x,Наименование груза_x,Код грузополучателя,Дата прибытия,Взыскано по прибытию (последние 2 знака тиыны),Документ_y,Наименование ГО_y,Наименование ГП_y,Наименование страны отправления_y,Наименование станции отправления_y,Станция отправления_y,Наименование страны назначения_y,Наименование станции назначения_y,Станция назначения_y,Общий вес по документу (кг)_y,Вес на вагон (кг)_y,Код груза_y,Наименование груза_y,Код грузоотправителя,Дата отправления,Взыскано при отправления  (последние 2 знака тиыны)
3782382,ЗАО РАЙЛАНА МУЛЬТИМОДАЛ,"ТОО ""Grandezza""",ЛИТВА            ,ПАНЯРЯЙ         ,120804.0,КАЗАХСТАН        ,АЛМАТЫ 2        ,700100.0,29130192,47431.0,47431.0,541024.0,КОМБИКОРМА_ВСЯКИЕ,53077652.0,2024-10-04,38113600,10236559,"АО ""ALG COMPANY""","ООО ""Региональная Компания""",КАЗАХСТАН        ,АЛМАТЫ 1        ,700007.0,РОССИЯ           ,КРЕЙДА          ,435906.0,60500.0,60500.0,541024.0,КОМБИКОРМА_ВСЯКИЕ,52086382.0,2024-10-16 20:00:00,41873500
12045659,КОНКОРД ГРУПП ООО,ТОО Научно-производственный комплекс Green world,ЛАТВИЯ           ,ЗИЕМЕЛЬБЛ.Э     ,95903.0,КАЗАХСТАН        ,ЖИЛАЕВО         ,666003.0,60259637,60054.0,60054.0,324116.0,ПРОКАТ_ЧЕРМЕТ_ПР,10000001.0,2024-10-06,14754900,10241909,"АО ""QARMET""","ООО ""КОМПАНИЯ МЕТАЛЛ ПРОФИЛЬ УРАЛ""",КАЗАХСТАН        ,ЖАНА-АУЛ        ,674103.0,РОССИЯ           ,ТЮМЕНЬ          ,790003.0,61450.0,61450.0,324116.0,ПРОКАТ_ЧЕРМЕТ_ПР,38428679.0,2024-10-28 12:38:00,19389300
12045658,КОНКОРД ГРУПП ООО,ТОО Научно-производственный комплекс Green world,ЛАТВИЯ           ,ЗИЕМЕЛЬБЛ.Э     ,95903.0,КАЗАХСТАН        ,ЖИЛАЕВО         ,666003.0,60220886,57206.0,57206.0,324116.0,ПРОКАТ_ЧЕРМЕТ_ПР,10000001.0,2024-10-06,14754900,10242041,"АО ""QARMET""","ООО ""УРАЛСИБТРЕЙД СИБИРСКИЙ РЕГИОН""",КАЗАХСТАН        ,ЖАНА-АУЛ        ,674103.0,РОССИЯ           ,ЧЕМСКОЙ         ,850308.0,64215.0,64215.0,324116.0,ПРОКАТ_ЧЕРМЕТ_ПР,38428679.0,2024-10-28 12:37:00,20136500
36744333,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАЦИОНАЛЬНАЯ КОМПАНИЯ ""ПРОДОВОЛЬСТВЕННАЯ КОНТРАКТНАЯ КОРПОРАЦИЯ""","ТОО ""НОВО-АЛЬДЖАНСКИЙ МЕЛЬКОМБИНАТ""",РОССИЯ           ,БУЛАЕВО 1       ,825202.0,КАЗАХСТАН        ,АКТОБЕ 2        ,689607.0,95676375,70000.0,70000.0,11005.0,ПШЕНИЦА,39667720.0,2024-10-01,23627800,20055370,"ТОО ""EAST AGRO COMPANY""","ООО ""Манучехр Хучаев""",КАЗАХСТАН        ,ДЕНИСОВКА       ,683600.0,ТАДЖИКИСТАН      ,ЛЕНИНАБАД       ,747802.0,69000.0,69000.0,11005.0,ПШЕНИЦА,10000001.0,2024-10-18 00:24:00,33425700
36744312,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАЦИОНАЛЬНАЯ КОМПАНИЯ ""ПРОДОВОЛЬСТВЕННАЯ КОНТРАКТНАЯ КОРПОРАЦИЯ""","ТОО ""НОВО-АЛЬДЖАНСКИЙ МЕЛЬКОМБИНАТ""",РОССИЯ           ,БУЛАЕВО 1       ,825202.0,КАЗАХСТАН        ,АКТОБЕ 2        ,689607.0,53230124,70000.0,70000.0,11005.0,ПШЕНИЦА,39667720.0,2024-10-01,23627800,20201971,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""SN TRADE COMPANY""","ООО СП ""Golden Osiyo Center Co""",КАЗАХСТАН        ,КОСТАНАЙ        ,684001.0,УЗБЕКИСТАН       ,БАЯУТ           ,725108.0,67800.0,67800.0,11005.0,ПШЕНИЦА,10000001.0,2024-12-18 22:45:00,36294700
34553567,CHINA OIL HBP SCIENCE & TECHNOLOGY CORPORATION LTD,"ТОО ""GPC INVESTMENT""",КИТАЙ            ,ДОСТЫК ЭКС      ,708507.0,КАЗАХСТАН        ,АТЫРАУ          ,661705.0,63944482,18135.0,18135.0,371051.0,КОНСТРУКЦ_МЕТАЛ_ПР,10000001.0,2024-10-16,45936300,20144446,"ТОО ""ТК МЕТАКОН""","ООО ""New Logistic"" ИНН 302847408 с дальнейшей передачей ПУ ""ENTER Engineering Pte*Ltd""   по поручению компании ""ENTER Engineering Pte*Ltd""",КАЗАХСТАН        ,ТАЛДЫКОРГАН     ,701809.0,УЗБЕКИСТАН       ,ТЕМИРЙУЛОБОД    ,741702.0,46700.0,46700.0,371051.0,КОНСТРУКЦ_МЕТАЛ_ПР,39476894.0,2024-11-27 18:38:00,24640900
34553929,CHINA OIL HBP SCIENCE & TECHNOLOGY CORPORATION LTD,"ТОО ""GPC INVESTMENT""",КИТАЙ            ,ДОСТЫК ЭКС      ,708507.0,КАЗАХСТАН        ,АТЫРАУ          ,661705.0,65189565,16409.0,16409.0,371051.0,КОНСТРУКЦ_МЕТАЛ_ПР,10000001.0,2024-10-17,45936300,20144315,"ТОО ""ТК МЕТАКОН""","ООО ""New Logistic"" ИНН 302847408 с дальнейшей передачей ПУ ""ENTER Engineering Pte*Ltd""   по поручению компании ""ENTER Engineering Pte*Ltd""",КАЗАХСТАН        ,ТАЛДЫКОРГАН     ,701809.0,УЗБЕКИСТАН       ,ТЕМИРЙУЛОБОД    ,741702.0,50300.0,50300.0,371051.0,КОНСТРУКЦ_МЕТАЛ_ПР,39476894.0,2024-11-27 18:40:00,25058600
34553277,CHINA OIL HBP SCIENCE & TECHNOLOGY CORPORATION LTD,"ТОО ""GPC INVESTMENT""",КИТАЙ            ,ДОСТЫК ЭКС      ,708507.0,КАЗАХСТАН        ,АТЫРАУ          ,661705.0,60743549,4211.0,4211.0,371051.0,КОНСТРУКЦ_МЕТАЛ_ПР,10000001.0,2024-10-16,45936300,20151697,"ТОО ""АСПМК-519""","Постоянное учреждение 2 ""АСПМК-519""",КАЗАХСТАН        ,ТАЛДЫКОРГАН     ,701809.0,УЗБЕКИСТАН       ,КАСАН           ,733000.0,62671.0,62671.0,371051.0,КОНСТРУКЦ_МЕТАЛ_ПР,39371238.0,2024-11-28 18:55:00,26417000
36751141,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАЦИОНАЛЬНАЯ КОМПАНИЯ ""ПРОДОВОЛЬСТВЕННАЯ КОНТРАКТНАЯ КОРПОРАЦИЯ""","ТОО ""НОВО-АЛЬДЖАНСКИЙ МЕЛЬКОМБИНАТ""",РОССИЯ           ,БУЛАЕВО 1       ,825202.0,КАЗАХСТАН        ,АКТОБЕ 2        ,689607.0,95007118,70000.0,70000.0,11005.0,ПШЕНИЦА,39667720.0,2024-10-05,23627800,20139120,"ТОО ""САРЫБЕЛ АГРО""","ООО «Анко Инвест» Республика Таджикистан, Согдийская область, Б* Гафуровский р-н,Джамоат Ёва, ул* Навобод, д*3",КАЗАХСТАН        ,САРЫБЕЛ         ,673609.0,ТАДЖИКИСТАН      ,ЛЕНИНАБАД       ,747802.0,69000.0,69000.0,11005.0,ПШЕНИЦА,10000001.0,2024-11-24 12:14:00,25045300
36751093,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАЦИОНАЛЬНАЯ КОМПАНИЯ ""ПРОДОВОЛЬСТВЕННАЯ КОНТРАКТНАЯ КОРПОРАЦИЯ""","ТОО ""НОВО-АЛЬДЖАНСКИЙ МЕЛЬКОМБИНАТ""",РОССИЯ           ,БУЛАЕВО 1       ,825202.0,КАЗАХСТАН        ,АКТОБЕ 2        ,689607.0,95482535,70000.0,70000.0,11005.0,ПШЕНИЦА,39667720.0,2024-10-05,23627800,20138733,"ТОО ""САРЫБЕЛ АГРО""","ООО «Анко Инвест» Республика Таджикистан, Согдийская область, Б* Гафуровский р-н,Джамоат Ёва, ул* Навобод, д*3",КАЗАХСТАН        ,САРЫБЕЛ         ,673609.0,ТАДЖИКИСТАН      ,ЛЕНИНАБАД       ,747802.0,69000.0,69000.0,11005.0,ПШЕНИЦА,10000001.0,2024-11-24 12:14:00,25045300
